LGA_ID,LGA_CODE_2020,LGA_NAME_2020,AREA_ALBERS_SQKM
0,29499,No usual address (Vic.),0.0
1,20110,Alpine (S),0.0127
257,20260,Ararat (RC),0.0394
457,25490,Moyne (S),19.2135
488,20570,Ballarat (C),0.0437
1599,20660,Banyule (C),0.0125
3060,20740,Bass Coast (S),0.0276
3776,20830,Baw Baw (S),0.0369
4233,20910,Bayside (C),0.0074
5376,21010,Benalla (RC),0.0757
5593,21110,Boroondara (C),0.0137
7552,21180,Brimbank (C),0.0437
9560,21270,Buloke (S),2.1557
9798,21370,Campaspe (S),0.0368
10339,21450,Cardinia (S),0.0556
11092,21610,Casey (C),0.0407
13365,21670,Central Goldfields (S),0.0565
13624,22910,Hepburn (S),2.0362
13668,21750,Colac-Otway (S),0.0513
14120,21830,Corangamite (S),1.2738
14407,22410,Glenelg (S),0.0279
14482,21890,Darebin (C),0.0102
16198,22110,East Gippsland (S),0.0303
16712,29399,Unincorporated Vic,1.5929
17089,22170,Frankston (C),0.0212
18654,22250,Gannawarra (S),0.6685
18909,22310,Glen Eira (C),0.0246
20879,22490,Golden Plains (S),1.3036
21098,22620,Greater Bendigo (C),0.0633
22550,22670,Greater Dandenong (C),0.0294
24116,22750,Greater Geelong (C),0.0364
27103,22830,Greater Shepparton (C),1.7327
28197,22980,Hindmarsh (S),0.1314
28322,23110,Hobsons Bay (C),0.0243
29329,23190,Horsham (RC),0.0614
29618,23270,Hume (C),0.0719
31195,23350,Indigo (S),0.6574
31328,26700,Wangaratta (RC),4.8211
31510,23430,Kingston (C) (Vic.),0.0196
33468,23670,Knox (C),0.0559
35052,23810,Latrobe (C) (Vic.),0.0337
36086,23940,Loddon (S),0.8663
36304,24130,Macedon Ranges (S),0.0119
36798,24210,Manningham (C),0.0805
38124,24250,Mansfield (S),0.0374
38312,24330,Maribyrnong (C),0.0096
39258,24410,Maroondah (C),0.035
40534,24600,Melbourne (C),0.0111
41418,24650,Melton (C),0.0186
42205,24780,Mildura (RC),0.0203
42861,24850,Mitchell (S),0.0276
43256,24900,Moira (S),0.2435
43709,24970,Monash (C),0.0634
45668,25060,Moonee Valley (C),0.0076
47095,25150,Moorabool (S),0.0443
47396,25250,Moreland (C),0.0169
49201,25340,Mornington Peninsula (S),0.0426
51849,25430,Mount Alexander (S),0.0707
52442,25620,Murrindindi (S),0.1194
52753,25710,Nillumbik (S),0.0242
53450,25810,Northern Grampians (S),0.0398
53733,25900,Port Phillip (C),0.0071
55013,25990,Pyrenees (S),0.7998
55195,26080,Queenscliffe (B),0.0259
55281,26170,South Gippsland (S),0.0315
55718,26260,Southern Grampians (S),0.0357
56020,26350,Stonnington (C),0.0117
57442,26430,Strathbogie (S),1.0617
57618,26490,Surf Coast (S),0.0282
58137,26610,Swan Hill (RC),0.0721
58542,26670,Towong (S),0.0612
59189,26730,Warrnambool (C),0.0453
59588,26810,Wellington (S),0.0882
60425,26890,West Wimmera (S),0.8981
60667,26980,Whitehorse (C),0.0255
62453,27070,Whittlesea (C),4.9234
63958,27170,Wodonga (C),0.1569
64429,27260,Wyndham (C),0.016
65474,27450,Yarra Ranges (S),0.0708
65515,27350,Yarra (C),0.01
79560,27630,Yarriambiack (S),0.0303
85007,29799,Migratory - Offshore - Shipping (Vic.),0.0
